index, stamp_sec, stamp_usec
1210,1638428771,616095
1211,1638428771,665640
1212,1638428771,715617
1213,1638428771,765196
1214,1638428771,815385
1215,1638428771,864502
1216,1638428771,914645
1217,1638428771,966156
1218,1638428772,14102
1219,1638428772,64455
1220,1638428772,114897
1221,1638428772,165675
1222,1638428772,216701
1223,1638428772,267128
1224,1638428772,317863
1225,1638428772,368554
1226,1638428772,416336
1227,1638428772,469618
1228,1638428772,519332
1229,1638428772,573054
1230,1638428772,619100
1231,1638428772,670203
1232,1638428772,717580
1233,1638428772,768506
1234,1638428772,819553
1235,1638428772,870061
1236,1638428772,917017
1237,1638428772,969263
1238,1638428773,17425
1239,1638428773,69715
1240,1638428773,116321
1241,1638428773,167503
1242,1638428773,216644
1243,1638428773,263179
1244,1638428773,314048
1245,1638428773,364028
1246,1638428773,416981
1247,1638428773,463545
1248,1638428773,516713
1249,1638428773,566503
1250,1638428773,616600
1251,1638428773,666403
1252,1638428773,713735
1253,1638428773,763415
1254,1638428773,813199
1255,1638428773,864466
1256,1638428773,914044
1257,1638428773,963290
1258,1638428774,14836
1259,1638428774,63464
1260,1638428774,114073
1261,1638428774,171900
1262,1638428774,213209
1263,1638428774,262898
1264,1638428774,313013
1265,1638428774,362268
1266,1638428774,411770
1267,1638428774,462498
1268,1638428774,510520
1269,1638428774,564980
1270,1638428774,612403
1271,1638428774,664010
1272,1638428774,713004
1273,1638428774,762348
1274,1638428774,811807
1275,1638428774,862125
1276,1638428774,911570
1277,1638428774,961744
1278,1638428775,12589
1279,1638428775,63198
1280,1638428775,113994
1281,1638428775,165177
1282,1638428775,215762
1283,1638428775,265877
1284,1638428775,317648
1285,1638428775,367635
1286,1638428775,417437
1287,1638428775,466960
1288,1638428775,516417
1289,1638428775,565372
1290,1638428775,614278
1291,1638428775,664795
1292,1638428775,714461
1293,1638428775,763088
1294,1638428775,813635
1295,1638428775,862936
1296,1638428775,912565
1297,1638428775,961995
1298,1638428776,11980
1299,1638428776,61536
1300,1638428776,113086
1301,1638428776,162289
1302,1638428776,213121
1303,1638428776,262449
1304,1638428776,314000
1305,1638428776,363726
1306,1638428776,411151
1307,1638428776,464330
1308,1638428776,513358
1309,1638428776,562349
1310,1638428776,613526
1311,1638428776,662005
1312,1638428776,712830
1313,1638428776,761824
1314,1638428776,814425
1315,1638428776,863383
1316,1638428776,914072
1317,1638428776,962231
1318,1638428777,12372
1319,1638428777,62059
1320,1638428777,111371
1321,1638428777,168057
1322,1638428777,211480
1323,1638428777,258233
1324,1638428777,313298
1325,1638428777,361043
1326,1638428777,413249
1327,1638428777,462611
1328,1638428777,513595
1329,1638428777,562541
1330,1638428777,613377
1331,1638428777,663433
1332,1638428777,712936
1333,1638428777,765432
1334,1638428777,811450
1335,1638428777,861867
1336,1638428777,911379
1337,1638428777,962254
1338,1638428778,9550
1339,1638428778,61601
1340,1638428778,109758
1341,1638428778,160385
1342,1638428778,210565
1343,1638428778,257188
1344,1638428778,309779
1345,1638428778,363199
1346,1638428778,411344
1347,1638428778,459712
1348,1638428778,512004
1349,1638428778,563393
1350,1638428778,609151
1351,1638428778,660347
1352,1638428778,709875
1353,1638428778,759496
1354,1638428778,808647
1355,1638428778,863701
1356,1638428778,909433
1357,1638428778,962051
1358,1638428779,8507
1359,1638428779,62605
1360,1638428779,108815
1361,1638428779,162003
1362,1638428779,211894
1363,1638428779,257805
1364,1638428779,312607
1365,1638428779,361004
1366,1638428779,411170
1367,1638428779,459827
1368,1638428779,510297
1369,1638428779,559753
1370,1638428779,611352
1371,1638428779,659256
1372,1638428779,709039
1373,1638428779,758065
1374,1638428779,809987
1375,1638428779,859792
1376,1638428779,910254
1377,1638428779,960385
1378,1638428780,12166
1379,1638428780,56585
1380,1638428780,106915
1381,1638428780,166268
1382,1638428780,209946
1383,1638428780,261669
1384,1638428780,310123
1385,1638428780,357799
1386,1638428780,406956
1387,1638428780,459267
1388,1638428780,509051
1389,1638428780,563025
1390,1638428780,606310
1391,1638428780,662960
1392,1638428780,706730
1393,1638428780,760260
1394,1638428780,810471
1395,1638428780,858073
1396,1638428780,910182
1397,1638428780,958720
1398,1638428781,3310
1399,1638428781,59316
1400,1638428781,106373
1401,1638428781,160436
1402,1638428781,210102
1403,1638428781,258474
1404,1638428781,309696
